ay,bleu_ay,bleu_iy,iy,x,z,dblue
वह अपने शरीर को खेलते हुए बहुत ही करीबी थे और उनकी भौमूवमेंट भी तब थी जब वह आगे खेल रहे थे ।,0.06779242985772434,0.07102577595383258,बल्ले से खेलते हुए उनके शरीर के बेहद करीबी रहे थे और उनकी इकॉनमी की धुप भी आगे थी ।,The bat was very close to his body while playing and his bowel movement was also high when he was playing forward.,खेलते वक्त बल्ला उनके शरीर के बहुत करीब रह रहा था और जब भी फॉरवर्ड होकर खेल रहे थे तो उनके शरीर का झुकाव भी अधिक था।,-0.0032333460961082444
कोई शतक नहीं लगा सकता और कोई शतक भी नहीं लगा ।,0.07495553473355841,0.08054496384843701,शतक लगाने वाले शतक लगाने वाले शतक भी नहीं बना सकते ।,Being unable to score a century can also be a bit disappointing.,शतक नहीं बना पाने से वह भी थोड़े निराश होंगे।,-0.0055894291148786
पहली गेंद पर हेलमेट के बाद भी कोहली ने पसीना बटोरी और शानदार शतकीय पारी खेली ।,0.17198159745929256,0.10992148055152447,पहले भी गेंद उछखा जाने के बाद से कोहली ने तनाव और शानदार शतक लगाया ।,"Even after the first ball hit the helmet, Kohli did not panic and scored a glorious century.",पहली ही गेंद जोरदार तरीके से हेलमेट पर लगने के बाद भी कोहली नहीं घबराए और शानदार शतक जड़ा।,0.062060116907768095
इसी के साथ उन्होंने ऑस्ट्रेलियाई खेमे में संदेश भी भेजा कि भारतीय टीम को पीछे छोड़ने वाला नहीं है ।,0.2622716439052442,0.35788354361456914,इसके साथ उन्होंने ऑस्ट्रेलियाई खेमे में भी संदेश दिया कि भारतीय टीम को वापस वापस मिलने वाली कोई कदम नहीं है ।,"With this, he also sent the message in the Australian camp that the Indian team is not going to step back.",इसके साथ उन्होंने ऑस्ट्रेलियाई खेमे में यह संदेश भी भेज दिया कि भारतीय टीम अपने कदम पीछे नहीं करने वाली है।,-0.09561189970932493
रहाणे भी थोड़ा निराश करेंगे ।,0.1796520559815421,0.1796520559815421,रहाणे भी थोड़ा निराश होंगे ।,Rahane will also be a bit disappointed.,रहाणे भी थोड़े निराश होंगे।,0.0
वह एक अच्छी अर्धशतक भी नहीं लगा पाए ।,0.05108427493270986,0.1558010570411745,वह एक अच्छे अर्धशतक लगाने में भी सक्षम कर सकते थे ।,He could not even convert a good half-century into a century.,वह भी एक अच्छे अर्धशतक को शतक में तब्दील नहीं कर सके।,-0.10471678210846463
अब अगर रोहित शर्मा अपना आपा कायम करते हैं तो वो साबित हो सकते हैं कि टेस्ट क्रिकेट में भी लंबे पारियां खेलने के लिए उनमें लंबे पारियां खेलने की क्षमता है ।,0.19000532642952978,0.24034793256416837,अब अगर रोहित शर्मा अपनी क्लास करते हैं तो वह यह साबित कर सकते हैं कि टेस्ट क्रिकेट में उन्होंने जो लंबा पारियां खेलने की क्षमता भी साबित कर दी है ।,"Now if Rohit Sharma retains his temper, then he can prove that he has the potential to play long innings in Test cricket as well as in Test cricket.",अब अगर रोहित शर्मा ने अपना संयम बनाए रखा तो वह साबित कर सकते हैं कि वनडे क्रिकेट के साथ-साथ टेस्ट क्रिकेट में भी वह लंबी पारी खेलने का माद्दा हैं।,-0.05034260613463859
यह मानवीय जवाब है और भारत को ज्यादा देर तक बल्लेबाजी करने की कोशिश करनी चाहिए ।,0.550447407433165,0.3968124292087278,यह जगगत जवाब है और भारत को ज्यादा लंबी बल्लेबाजी करने की कोशिश करनी चाहिए ।,This is indeed a strong answer and India should try to bat for much longer.,यह वास्तव में एक मजबूत जवाब है और भारत को ज्यादा से ज्यादा देर तक बल्लेबाजी करने की कोशिश करनी चाहिए।,0.15363497822443722
इससे भारत को बाकी सीरीज में मनोवैज्ञानिक बढ़त के साथ मैदान पर उतरने का मौका मिलेगा ।,0.5664313497325814,0.36105260209445084,इससे पहले की सीरीज में भारत को मनोवैज्ञानिक बढ़त के साथ मैदान पर कराने का मौका मिलेगा ।,This will give India the chance to land on the field with a psychological edge in the remaining series.,इससे शेष सीरीज में एक मनोवैज्ञानिक बढ़त के साथ मैदान पर उतरने का मौका भारत को मिलेगा।,0.20537874763813052
क्रिकेट की अन्य खबरों के लिए यहां क्लिक,0.8824969025845955,0.8824969025845955,क्रिकेट की अन्य खबरों के लिए यहां क्लिक,Click here for other cricket news,क्रिकेट की अन्य खबरों के लिए यहां क्लिक करें,0.0
( गावस्कर का कॉलम ),0.10682175159905853,0.10682175159905853,( गावस्कर का कॉलम ),(Gavaskar's column),(गावस्कर का कॉलम),0.0
अंत में टीम इंडिया की बढ़त श्रीलंका की टीम को काफी साबित हुई ।,0.06649479326478727,0.1076434543269636,अंत में भारत की बढ़त तय साबित हुई है ।,"In the end, India's edge for the committed Sri Lankan team proved to be a lot more.",आखिर में प्रतिबद्ध श्रीलंकाई टीम के लिए भारत की बढ़त कुछ ज्यादा ही साबित हुई।,-0.04114866106217632
दूसरी बार सीरीज में भारत ने 600 से ज्यादा रन बनाए ।,0.16246802416786377,0.14466039436112244,दूसरे छोर पर सीरीज में भारत ने नौवें रनों से ज्यादा रन बनाए ।,"For the second time in the series, India scored more than 600 runs.",सीरीज में लगातार दूसरी बार भारत ने 600 रनों से ज्यादा का स्कोर खड़ा किया।,0.017807629806741332
"पहली पारी में 183 रन पर आउट होने के बाद श्रीलंका ने दूसरी पारी में दो साझेदारियों के साथ सर्वश्रेष्ठ प्रदर्शन करने की कोशिश की , लेकिन उन्हें पता था कि वह कुछ समय से नतीजे से ही बच सकते हैं और मैच को बचाने के लिए मदद की जरूरत होगी ।",0.43843569374922076,0.3107338913400037,"पहली पारी में पंकज रॉय के लिए आउट होने के बाद श्रीलंका दूसरी पारी में दो शून्य के साथ सर्वश्रेष्ठ करने की कोशिश करते हुए श्रीलंका ने दूसरी पारी में दो बार का नतीजा गंवा दिया , लेकिन उन्हें पता था कि वह सिर्फ परिणाम से कुछ ही खत्म कर सकते हैं ।","After being dismissed for 183 in the first innings, Sri Lanka tried to do the best with two partnerships in the second innings, but they knew that they could only avoid the result for some time and to help save the match, Will be needed.","पहली पारी में 183 रनों पर आउट होने के बाद श्रीलंका ने दूसरी पारी में दो साझेदारी के बूते सर्वश्रेष्ठ करने की कोशिश की, लेकिन उन्हें पता था कि वे सिर्फ परिणाम को कुछ समय के लिए टाल सकते हैं और मैच बचाने के लिए उन्हें मौसम की मदद की जरूरत होगी।",0.12770180240921708
दिमुथ करुणारत्ने और कुशल मेंडिस की शानदार बल्लेबाजी के चलते भारत को जीत के लिए थोड़ा इंतजार करना पड़ा ।,0.693395566222006,0.1441800755321847,हुवेंगसरकर और डेची की शानदार बल्लेबाजी के कारण भारत को जीत का कुछ इंतजार करना पड़ा ।,"Due to the glorious batting of Dimuth Karunaratne and Kaushal Mendis, India had to wait a bit to win.",दिमुथ करुणारत्ने और कुशल मेंडिस की शानदार बल्लेबाजी की वजह से भारत को जीत के लिए थोड़ा इंतजार करना पड़ा।,0.5492154906898213
"करुणारत्ने बाएं हाथ के बल्लेबाज हैं , जो पारंपरिक अंदाज में खेलने से अलग तरीके से नहीं रहे हैं ।",0.12972311972961767,0.020705706652424,"आपस में किस्से सुनाना बल्लेबाज है , जो लगातार कुछ ही ओवर में चल रहे हैं , ठीक ही किसी जाल में नहीं ।","Karunaratne is a left-handed batsman, who does not panic in running in a different manner than playing in a traditional way.","करुणारत्ने बायें हाथ के बल्लेबाज हैं, जो पारंपरिक तरीके से खेलने के अलावा अलग तरीके से रन बनाने से भी घबराते नहीं हैं।",0.10901741307719368
पिछले साल ऑस्ट्रेलिया के खिलाफ पारी के बाद मेंडिस के बारे में मेंडिस की काफी चर्चा हुई है ।,0.4918537211621339,0.09063023185560715,ऑस्ट्रेलिया के खिलाफ विशाखापत्तनम की पारी को लेकर काफी चर्चा हो चुकी है ।,There has been a lot of talk about Mendis after an innings of 176 runs against Australia last year.,पिछले साल ऑस्ट्रेलिया के खिलाफ 176 रनों की पारी के बाद मेंडिस के बारे में काफी बातें होने लगी हैं।,0.40122348930652674
भारत के खिलाफ उनके शतक की चमक उस मायने में कम भी नहीं है ।,0.5149732203257935,0.5675005498026443,भारत के खिलाफ उनके शतक की चमक भी कम नहीं है ।,The glow of their century against India is also no less in that sense.,भारत के खिलाफ उनके शतक की चमक भी किसी मायने में कम नहीं है।,-0.05252732947685079
अपनी पारी के दौरान हमें कुछ सुंदर शॉट देखने को मिले ।,0.4240125351805037,0.4240125351805037,अपनी टर्न के दौरान हमें कुछ खूबसूरत शॉट देखने को मिला ।,During his turn we got to see some beautiful sweep shots.,उनकी पारी के दौरान हमें कुछ खूबसूरत स्वीप शॉट देखने को मिले।,0.0
"करुणारत्ने आक्रामक खेल से डरते नहीं हैं , लेकिन मेंडिस ने अपने शॉट से गेंदबाजों को शॉर्ट गेंद बनाने के लिए मजबूर कर दिया ।",0.4601221424835303,0.22565819468276088,"कुशल चेस आक्रामक खेल से नहीं डरते हैं , लेकिन सूखे ने अपनी शॉट से शॉर्ट गेंद को शॉर्ट कर दिया ।","Karunaratne is not afraid of aggressive game, but Mendis forced the bowlers to make a short ball with their shot.","करुणारत्ने भी आक्रामक खेल से नहीं डरते हैं, लेकिन मेंडिस ने अपने शॉट से गेंदबाजों को शॉर्ट गेंद करने पर मजबूर कर दिया।",0.2344639478007694
इसके साथ उन्होंने ढेर सारी कटौती और पुल की ।,0.092875289995668,0.04873498938813619,इसके साथ उन्होंने ढेर सारी खुशियां जमाए ।,With this he scored a lot of cuts and bridges.,इससे उन्होंने कट और पुल से काफी रन बटोरे।,0.04414030060753182
"मेंडिस के विकेट के बाद करुणारत्ने और मैथ्यूज के बीच अच्छी साझेदारी हुई , लेकिन ऐसा नहीं था कि भारतीय खेमे में चिंता देखने को मिली ।",0.4591497693322865,0.07845781715044783,"सानिया के बाद एक अच्छा साझेदारी था , लेकिन भारतीय खेमे में भी ऐसा ही हुआ , लेकिन भारतीय खेमे में काफी चिंता थी ।","After Mendis's wicket, there was a good partnership between Karunaratne and Mathews, but it was not so great that there was concern in the Indian camp.","मेंडिस के विकेट के बाद करुणारत्ने और मैथ्यूज के बीच एक अच्छी साझेदारी हुई, लेकिन यह इतनी बड़ी नहीं थी, जिससे भारतीय खेमे में चिंता होती।",0.3806919521818387
जडेजा ने अपनी बेहतरीन गेंदबाजी से तो अंत में विकेट के पीछे आकर करुणारत्ने को पवेलियन की राह दिखाई ।,0.22966666918631912,0.0474926293387005,जडेजा उनके पूरे गेंदबाजी से विकेट कराने के साथ - साथ दौड़ते हुए विकेट को छूकर देते हैं और उन्होंने शार्ट गेंद पर अपना विकेट झटक लिए ।,"Jadeja, with his best bowling, finally came in the round the wicket and sent the pavilion to Karunaratne and took his wicket on a bouncy ball.",जडेजा ने अपनी बेहतरीन गेंदबाजी से आखिरकार राउंड द विकेट आते हुए करुणारत्ने को भी पवेलियन भेजा और उछालभरी गेंद पर उनका विकेट लिया।,0.18217403984761862
अगर उन्होंने बाएं हाथ के बल्लेबाजों के खिलाफ विकेट फेंकी तो भारत ने काफी जल्दी मैच जीते होंगे ।,0.19771941426117778,0.2467042319188821,अगर वह बायें हाथ के बल्लेबाजों के खिलाफ विकेट लेती हैं तो फिर भारत इस मैच को काफी जल्दी हो जाता ।,"If he had bowled the wicket against the left-handed batsmen beforehand, then India would have won the match quite early.",अगर बायें हाथ के बल्लेबाजों के खिलाफ वह पहले ही राउंड द विकेट गेंदबाजी करते तो भारत काफी पहले ही मैच जीत जाता।,-0.04898481765770432
खासतौर पर टेस्ट क्रिकेट में गेंदबाजी करते समय आपको अलग करने के लिए तैयार रहना चाहिए और भारत को ऐसा करने के लिए लंबा समय लगता है ।,0.4958271734659374,0.2945288437401947,"अधिकारी , टेस्ट क्रिकेट में गेंदबाजी करते वक्त आप तैयार होना चाहिए और भारत को ऐसा करने के लिए लंबे समय तक तैयार होना चाहिए ।","Specifically, while bowling in Test cricket, you should be ready to separate and India takes a long time to do so.",खासतौर से टेस्ट क्रिकेट में गेंदबाजी करते वक्त आपको अलग करने के लिए तैयार रहना चाहिए और भारत ने ऐसा करने में काफी लंबा समय लिया।,0.2012983297257427
एक बार फिर यह एक बेहतरीन टीम प्रयास थी ।,0.7598356856515925,0.4671379777282001,एक बार फिर यह एक शानदार टीम थी ।,Once again it was a great team effort.,एक बार फिर यह एक बेहतरीन टीम प्रयास रहा।,0.29269770792339245
यह टीम ज्यादा जीत और ज्यादा से ज्यादा जीत जाती है ।,0.27143466477063494,0.07817610446892725,इस टीम में ज्यादा जीत और ज्यादा सुधार हुए ।,This team looks great while winning more and more.,यह टीम ज्यादा से ज्यादा जीत हासिल करते हुए बेहतरीन दिख रही है।,0.19325856030170768
खास बात यह है कि यह हर हाल में और अलग विपक्षी टीमों के खिलाफ जीत रही है ।,0.5184341074271375,0.20919861515072177,खास बात यह है कि हर हाल और अलग - अलग विपक्षी टीमें ।,The special thing is that it is winning against every situation and different opposition teams.,खास बात यह है कि यह हर परिस्थिति और अलग-अलग विपक्षी टीमों के खिलाफ जीत दर्ज कर रही है।,0.30923549227641567
क्रिकेट की खबरों के लिए यहां क्लिक,0.8668778997501817,0.8668778997501817,क्रिकेट की खबरों के लिए यहां क्लिक,Click here for cricket news,क्रिकेट की खबरों के लिए यहां क्लिक करें,0.0
अन्य खेलों की खबरों के लिए यहां क्लिक,0.8824969025845955,0.8824969025845955,अन्य खेलों की खबरों के लिए यहां क्लिक,Click here for news of other sports,अन्य खेलों की खबरों के लिए यहां क्लिक करें,0.0
( हर्षा भोगले का कॉलम ),0.16233395773754944,0.16233395773754944,( हर्षा भोगले का कॉलम ),(Column of Harsha Bhogale),(हर्षा भोगले का कॉलम),0.0
मुझे लगता है कि हम पिच के बारे में अधिक सोच रहे हैं और इस प्रक्रिया में हमारे खेल को भुला रहे हैं ।,0.5567626026990536,0.5709603162349457,मुझे लगता है कि हम पिच के बारे में ज्यादा सोच रहे हैं और इस प्रक्रिया में अपना खेल बिगाड़ लीजिए ।,I think we are thinking more about the pitch and have forgotten our game in this process.,मुझे लगता है कि हम पिच के बारे में जरूरत से ज्यादा सोच रहे हैं और इस प्रक्रिया में अपने खेल को भूलते जा रहे हैं।,-0.014197713535892054
"बेशक पिच क्रिकेट का अहम हिस्सा है , लेकिन सब कुछ नहीं ।",0.3867706276352344,0.17098323692758394,"बेशक , पिच क्रिकेट का महत्वपूर्ण हिस्सा है , लेकिन सब कुछ नहीं है ।","Of course, pitch is an important part of cricket, but not everything.","बेशक, पिच क्रिकेट का अहम हिस्सा होती है, लेकिन सब कुछ नहीं।",0.21578739070765046
दोनों ही टीमों के लिए ऐसा ही है ।,0.19070828081828378,0.19070828081828378,दोनों ही टीमों के लिए ऐसा ही है ।,It is the same for both teams.,यह दोनों टीमों के लिए एक जैसी होती है।,0.0
ऐसा ही एक इंसान के तौर पर अपने हाथों में एक इंसान विज्ञापन कर रहा है ।,0.0672816025334196,0.049846888244961605,"ऐसा ही कोई इंसान उनके हाथों में होता है , टी - 20 में सभी संस्करणों के लिए ।",It is as if a person shares cards to all the participants in their hands in a card game.,यह ऐसा ही है जैसे किसी ताश के खेल में एक व्यक्ति अपने हाथों से सभी प्रतिभागियों को कार्ड बांटता है।,0.01743471428845799
"उस व्यक्ति का हाथ बेशक महत्वपूर्ण है , लेकिन खिलाड़ी की काबिलियत और कौशल उन्हें विजेता बनाती है ।",0.2281399713503153,0.2615311775021803,"बेशक उस व्यक्ति का हाथ ही जरूरी है , लेकिन खिलाड़ी की काबिलियत और विविधता उन्हें वह विजेता बनाती है ।","Of course the hand of that person is important, but the player's ability and skill makes him the winner.","बेशक उस व्यक्ति का हाथ अहम होता है, लेकिन खिलाड़ी की योग्यता और कौशल ही उसे विजेता बनाती है।",-0.033391206151865
"हमें बेंगलूर में एक बेहतरीन संस्थान देखने की उम्मीद है , क्योंकि अब यह भी एक जिम्मेदारी है ।",0.13671686390736432,0.13076558875109015,"उम्मीद करते हैं कि बेंगलुरु में एक बेहतरीन शस्त्र देखने को मिले , क्योंकि अब इसका भी एक जिम्मेदारी है ।","We hope to see an excellent surface in Bangalore, because now it is also a responsibility.","उम्मीद है कि बेंगलुरु में हमें एक बेहतरीन सतह देखने को मिलेगी, क्योंकि अब यह एक जिम्मेदारी भी है।",0.005951275156274166
और इस खेल के पुराने बंगले में कहा जाता है कि अच्छी पिचों पर अच्छा क्रिकेट खेला जाता है ।,0.5588265197414455,0.1354786061830166,और इस खेल के पुराने रूम में इस खेल में अच्छे क्रिकेट खेला जाता है ।,And in the old quotes of this game it is said that good cricket is played on good pitches.,और इस खेल की पुरानी कहावतों में कहा भी जाता है कि अच्छी पिचों पर अच्छा क्रिकेट खेला जाता है।,0.4233479135584289
"लेकिन अगर यह खिलाड़ी खिलाड़ी , तो हमें यह देखना होगा कि उसका सामना अपार कौशल और दृढ़ से करना है , जैसा कि स्टीव स्मिथ ने किया ।",0.2347248568263367,0.04179944495877316,"लेकिन अगर वह खिलाड़ियों की तरफ से उतरे हैं , तो हमें नर्वस रहना होगा और ' , जैसा स्मिथ ने किया था ।","But if it challenges the players, then we have to see if we face it with immense skill and determination, as Steve Smith did.","लेकिन अगर यह खिलाडिय़ों को चुनौती देती है तो फिर हमें देखना होगा कि क्या हम अपार कौशल और संकल्प से इसका सामना करते हैं, जैसा कि स्टीव स्मिथ ने किया।",0.19292541186756354
या लोकेश को ऐसा करते हुए देखा गया,0.09027235033938245,0.0844991782262014,या फिर लोकेश राहुल को देखकर ऐसा हुआ ।,Or as Lokesh was seen doing Rahul,या जैसा कि लोकेश राहुल करते हुए दिखाई दे रहे थे।,0.005773172113181055
अगर टीम इंडिया को सीरीज में वापसी करनी है तो शीर्ष खिलाडि़यों को जाना होगा ।,0.4792365811426396,0.24264382743890414,अगर टीम इंडिया को सीरीज में वापसी करनी होगी तो शीर्ष खिलाडि़यों को हाथ रहना होगा ।,If Team India has to return to the series then the top players will have to go.,टीम इंडिया को अगर सीरीज में वापसी करनी है तो शीर्ष खिलाडिय़ों को राह दिखानी होगी।,0.23659275370373548
"जब आप पुणे की तरह हार करते हैं , तो इससे आपकी आपका आविश्वास आ जाता है ।",0.23909453161355018,0.24744772958964126,"जब आप पुणे की तरह हारते हैं , तो उनका आत्मविश्वास लौटता हो जाता है ।","When you lose a fight like Pune, it makes your self-confidence deeply hurt.",जब आप पुणे की तरह कोई मुकाबला हारते हैं तो इससे आपके आत्मविश्वास को गहरी चोट लगती है।,-0.008353197976091076
ऐसे में कोहली या अश्विन जैसे खिलाड़ियों को आगे का रास्ता दिखाने की उम्मीद है और उन्हें ऐसा करना होगा ।,0.42092600311547734,0.14411291670643006,ऐसे में जिस तरह के खिलाडिय़ों या अश्विन उम्मीद कर रहे हैं और उन्हें आगे बढ़कर खेलना होगा और उन्हें ऐसा करना होगा ।,"In such a way, players like Kohli or Ashwin are expected to show the path ahead and they have to do it.",ऐसे में कोहली या अश्विन जैसे खिलाडिय़ों से आगे की राह दिखाने की उम्मीद की जाती है और उन्हें ऐसा करना ही होगा।,0.2768130864090473
"ये हैं वो खिलाड़ी जो बाकी टीम , जो भी टीम नजर आने चाहिए जो नजर आ रही है वो अब भी सीरीज़ और हम आपको ही दिखाएंगे ।",0.07881926575633938,0.06952119117898889,"ये वो खिलाड़ी हैं जिन्हें बाकी , हम आराम के बारे में बता रहे हैं , हम फिर भी सीरीज को जीत दिला सकते हैं और हमें वह आसानी से सीरीज जिताती हैं ।","These are the players who should tell the rest of the team that look, we can still win the series and we will show you the way.","ये ऐसे खिलाड़ी हैं, जिन्हें बाकी टीम को बताना चाहिए कि देखो, हम अब भी सीरीज जीत सकते हैं और हम आपको रास्ता दिखाएंगे।",0.00929807457735049
इसके अलावा भारतीय टीम को भी सलामी जोड़ी से ज्यादा योगदान करने की जरूरत होगी ।,0.30856960108358766,0.37868117902707676,इसके अलावा भारतीय टीम को ओपनिंग जोड़ी से ज्यादा योगदान देना होगा ।,"Apart from this, the Indian team will also need to contribute more than the opening pair.",इसके अलावा भारतीय टीम को ओपनिंग जोड़ी से भी अधिक योगदान की जरूरत होगी।,-0.0701115779434891
75 रन के स्कोर पर बिना किसी नुकसान का स्कोर किसी भी टीम के लिए औपचारिकता है ।,0.44219732271776674,0.3488679467480158,600 रन के स्कोर का स्कोर किसी भी टीम के लिए दुखदायी रहा है ।,The score of 75 runs without any loss is a comforting thing for any team.,बिना किसी नुकसान के 75 रन का स्कोर किसी भी टीम के लिए सुकून भरी बात होती है।,0.09332937596975094
इससे कुछ और भी उनकी तुलना नहीं की जा सकती ।,0.14991106946711685,0.0,यह कुछ और भी हो सकता है ।,It can not be compared to anything else.,इसकी तुलना किसी अन्य बात से नहीं की जा सकती।,0.14991106946711685
सलामी बल्लेबाज का काम भी यही है कि उन्होंने एक प्रायोजक इमारत बनाने के लिए नींव रखी ।,0.14869929081646313,0.0623623194789199,सलामी बल्लेबाज की काम भी समझ ही रही है कि उन्होंने जिस तरह पर अमल किया ।,The opener's work is also that he laid the foundation on which to build a lofty building.,ओपनर का काम भी यही होता है कि वो ऐसी बुनियाद रखे जिस पर बुलंद इमारत खड़ी की जा सके।,0.08633697133754323
